 INPUT STRING:	المشاركة
     IS_TRANS:	Alm$Arkp
        INDEX:	P1W1
      OFFSETS:	0-8
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$Arokap_1]
   UNSPLITVOC:	(Almu$Arokap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mu$Arok+ap
        GLOSS:	the+participation/association+[fem.sg.]

 INPUT STRING:	الأصلية
     IS_TRANS:	Al>Slyp
        INDEX:	P1W2
      OFFSETS:	9-16
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AaSoliy_1]
   UNSPLITVOC:	(AlASoliy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+ASoliy~+ap
        GLOSS:	the+origin+[fem.sg.]

 INPUT STRING:	كتبت
     IS_TRANS:	ktbt
        INDEX:	P1W3
      OFFSETS:	17-21
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[katab_1]
   UNSPLITVOC:	(kutibat)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	kutib+at
        GLOSS:	be written/be fated/be destined+it/they/she [verb]

 INPUT STRING:	بواسطة
     IS_TRANS:	bwAsTp
        INDEX:	P1W4
      OFFSETS:	22-28
       TOKENS:	P1W4-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAsoTap_1]
   UNSPLITVOC:	(biwAsoTap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+wAsoT+ap
        GLOSS:	with/by+through/via+[fem.sg.]

 INPUT STRING:	الخبرده
     IS_TRANS:	Alxbrdh
        INDEX:	P2W1
      OFFSETS:	0-7
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
