 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	روحت
     IS_TRANS:	rwHt
        INDEX:	P1W2
      OFFSETS:	4-8
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raw~aH_1]
   UNSPLITVOC:	(raw~aHt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	raw~aH+t
        GLOSS:	fan/ventilate/revive/go home+I

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P1W3
      OFFSETS:	9-11
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	حبيبتي
     IS_TRANS:	Hbybty
        INDEX:	P1W4
      OFFSETS:	12-18
       TOKENS:	P1W4-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiybap_1]
   UNSPLITVOC:	(Habiybtiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	Habiyb+ap+iy
        GLOSS:	beloved/lover/darling/dear/sweet heart/sweatheart/sweetheart+[fem.sg.]+my

 INPUT STRING:	بأحلم
     IS_TRANS:	b>Hlm
        INDEX:	P2W1
      OFFSETS:	0-5
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilim_1]
   UNSPLITVOC:	(bAaHolam)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+Holam
        GLOSS:	[present-tense]+I+dream/dreaming

 INPUT STRING:	بحضنك
     IS_TRANS:	bHDnk
        INDEX:	P2W2
      OFFSETS:	6-11
       TOKENS:	P2W3-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HuDon_1]
   UNSPLITVOC:	(biHuDonak)
          POS:	PREP+NOUN+POSS_PRON_2MS
          VOC:	bi+HuDon+ak
        GLOSS:	with/by+hugs+your

 INPUT STRING:	معايا
     IS_TRANS:	mEAyA
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAyA)
          POS:	NOUN+POSS_PRON_1S
          VOC:	maEa+iy
        GLOSS:	with+my

 INPUT STRING:	نبيل
     IS_TRANS:	nbyl
        INDEX:	P3W2
      OFFSETS:	6-10
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nabiyl_1]
   UNSPLITVOC:	(nabiyl)
          POS:	NOUN_PROP
          VOC:	nabiyl
        GLOSS:	Nabil

 INPUT STRING:	اللهم
     IS_TRANS:	Allhm
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ahum~a_1]
   UNSPLITVOC:	(All~ahum~a)
          POS:	NOUN
          VOC:	All~ahum~a
        GLOSS:	truly/certainly/oh God!/dear God

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P4W2
      OFFSETS:	6-8
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_7]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	why/what/which

 INPUT STRING:	>
     IS_TRANS:	>
        INDEX:	P4W3
      OFFSETS:	9-10
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(>)
          POS:	TYPO
          VOC:	>
        GLOSS:	nogloss

 INPUT STRING:	SbH
     IS_TRANS:	SbH
        INDEX:	P4W4
      OFFSETS:	10-13
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SabaH_1]
   UNSPLITVOC:	(SabaH)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	SabaH+(null)
        GLOSS:	become/begin/start/be/begin a new day+he/it

 INPUT STRING:	بي
     IS_TRANS:	by
        INDEX:	P4W5
      OFFSETS:	14-16
       TOKENS:	P4W5-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biy)
          POS:	PREP+PRON_1S
          VOC:	bi+iy
        GLOSS:	with/by+I/me

 INPUT STRING:	mn
     IS_TRANS:	mn
        INDEX:	P4W6
      OFFSETS:	17-19
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	نعمة
     IS_TRANS:	nEmp
        INDEX:	P4W7
      OFFSETS:	20-24
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niEomap_1]
   UNSPLITVOC:	(niEomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	niEom+ap
        GLOSS:	blessing/blessings+[fem.sg.]

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P4W8
      OFFSETS:	25-27
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	b>Hd
     IS_TRANS:	b>Hd
        INDEX:	P4W9
      OFFSETS:	28-32
       TOKENS:	P4W10-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(bi>aHad)
          POS:	PREP+NOUN
          VOC:	bi+>aHad
        GLOSS:	with/by+one (of)/someone/anyone/no-one/ones/Sunday/Sundays

 INPUT STRING:	mn
     IS_TRANS:	mn
        INDEX:	P4W10
