 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	فرحانة
     IS_TRANS:	frHAnp
        INDEX:	P1W2
      OFFSETS:	4-10
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faroHAn_1]
   UNSPLITVOC:	(faroHAnap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	faroHAn+ap
        GLOSS:	cheerful/delighted+[fem.sg.]

 INPUT STRING:	قوي
     IS_TRANS:	qwy
        INDEX:	P1W3
      OFFSETS:	11-14
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(Aawiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	
     IS_TRANS:	&#xe411;
        INDEX:	P1W4
      OFFSETS:	15-16
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(&#xe411;)
          POS:	NO_FUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	ودي
     IS_TRANS:	wdy
        INDEX:	P1W5
      OFFSETS:	17-20
       TOKENS:	P1W5-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(widiy)
          POS:	CONJ+DEM_PRON_FS
          VOC:	wi+diy
        GLOSS:	and+this

 INPUT STRING:	دموع
     IS_TRANS:	dmwE
        INDEX:	P1W6
      OFFSETS:	21-25
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[damoE_1]
   UNSPLITVOC:	(dumuwE)
          POS:	NOUN
          VOC:	dumuwE
        GLOSS:	tears

 INPUT STRING:	الفرح
     IS_TRANS:	AlfrH
        INDEX:	P1W7
      OFFSETS:	26-31
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faraH_1]
   UNSPLITVOC:	(AlfaraH)
          POS:	DET+NOUN
          VOC:	Al+faraH
        GLOSS:	the+joy/happiness/festivity/with joy/joyfully/joys/festivities

 INPUT STRING:	نوسة
     IS_TRANS:	nwsp
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuwsap_1]
   UNSPLITVOC:	(nuwsap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	nuws+ap
        GLOSS:	Noussa+[fem.sg.]

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P2W2
      OFFSETS:	5-10
       TOKENS:	P2W2-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P2W3
      OFFSETS:	11-14
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	عاوزة
     IS_TRANS:	EAwzp
        INDEX:	P2W4
      OFFSETS:	15-20
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwozap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAwoz+ap
        GLOSS:	wanting/needing+[fem.sg.]

 INPUT STRING:	اعملها
     IS_TRANS:	AEmlhA
        INDEX:	P2W5
      OFFSETS:	21-27
       TOKENS:	P2W6-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(AaEomilhA)
          POS:	IV1S+IV+IVSUFF_DO:3FS
          VOC:	Aa+Eomil+hA
        GLOSS:	I+function/make/act/do+it/them/her

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P2W6
      OFFSETS:	28-30
       TOKENS:	P2W8-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lik)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	to/for+you

 INPUT STRING:	مفاجأة
     IS_TRANS:	mfAj>p
        INDEX:	P2W7
      OFFSETS:	31-37
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mufAjo>ap_1]
   UNSPLITVOC:	(mufAjo>ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mufAjo>+ap
        GLOSS:	surprise/surprises/by surprise+[fem.sg.]

 INPUT STRING:	مبروك
     IS_TRANS:	mbrwk
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maboruwk_1]
   UNSPLITVOC:	(maboruwk)
          POS:	NOUN
          VOC:	maboruwk
        GLOSS:	blessed

 INPUT STRING:	والتوم
     IS_TRANS:	wAltwm
        INDEX:	P3W2
      OFFSETS:	6-12
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wAltwm)
          POS:	FOREIGN
          VOC:	wAltwm
        GLOSS:	nogloss

 INPUT STRING:	والتوم
     IS_TRANS:	wAltwm
        INDEX:	P3W3
      OFFSETS:	13-19
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wAltwm)
          POS:	FOREIGN
          VOC:	wAltwm
        GLOSS:	nogloss

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P3W4
      OFFSETS:	20-22
