 INPUT STRING:	تعرفي
     IS_TRANS:	tErfy
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(tiEorafiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+Eoraf+iy
        GLOSS:	you+know/be known+you

 INPUT STRING:	Hd
     IS_TRANS:	Hd
        INDEX:	P1W2
      OFFSETS:	6-8
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	stop/halt/end/extent/limit/level/border/frontier

 INPUT STRING:	بيعمل
     IS_TRANS:	byEml
        INDEX:	P1W3
      OFFSETS:	9-14
       TOKENS:	P1W3-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(biyiEomil)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+Eomil
        GLOSS:	[present-tense]+he/it+function/make/act/do

 INPUT STRING:	myk
     IS_TRANS:	myk
        INDEX:	P1W4
      OFFSETS:	15-18
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(myk)
          POS:	FOREIGN
          VOC:	myk
        GLOSS:	nogloss

 INPUT STRING:	Ab
     IS_TRANS:	Ab
        INDEX:	P1W5
      OFFSETS:	19-21
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Ab)
          POS:	FOREIGN
          VOC:	Ab
        GLOSS:	nogloss

 INPUT STRING:	كويس
     IS_TRANS:	kwys
        INDEX:	P1W6
      OFFSETS:	22-26
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~is)
          POS:	ADJ
          VOC:	kuway~is
        GLOSS:	beautiful/nice/fine (arts)/brilliant/pleasant/shining with light/pretty/attractive

 INPUT STRING:	واحدة
     IS_TRANS:	wAHdp
        INDEX:	P2W1
      OFFSETS:	0-5
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHodap)
          POS:	NOUN+NSUFF_FEM_SG
