 INPUT STRING:	عجوة
     IS_TRANS:	Ejwp
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eajowap_1]
   UNSPLITVOC:	(Eajowap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Eajow+ap
        GLOSS:	Agwa+[fem.sg.]

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ
          VOC:	walA
        GLOSS:	boy

 INPUT STRING:	حودة
     IS_TRANS:	Hwdp
        INDEX:	P2W2
      OFFSETS:	4-8
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Huwdap_1]
   UNSPLITVOC:	(Huwdap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	Huwd+ap
        GLOSS:	Houda+[fem.sg.]

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P3W1
      OFFSETS:	0-3
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P4W2
      OFFSETS:	4-8
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(Aill~iy)
          POS:	REL_PRON
          VOC:	Aill~iy
        GLOSS:	who/which/that

 INPUT STRING:	بتنده
     IS_TRANS:	btndh
        INDEX:	P4W3
      OFFSETS:	9-14
       TOKENS:	P4W3-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nadah_1]
   UNSPLITVOC:	(bitinodah)
          POS:	PROG_PART+IV2MS+IV
          VOC:	bi+ti+nodah
        GLOSS:	[present-tense]+you+urge on/drive away/call

 INPUT STRING:	بألعب
     IS_TRANS:	b>lEb
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liEib_1]
   UNSPLITVOC:	(bAaloEab)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+loEab
        GLOSS:	[present-tense]+I+play

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P5W2
      OFFSETS:	6-8
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	جدع
