 INPUT STRING:	عايزين
     IS_TRANS:	EAyzyn
        INDEX:	P1W1
      OFFSETS:	0-6
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyoziyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EAyoz+iyn
        GLOSS:	wanting+two

 INPUT STRING:	نقول
     IS_TRANS:	nqwl
        INDEX:	P1W2
      OFFSETS:	7-11
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(niquwl)
          POS:	IV1P+IV
          VOC:	ni+quwl
        GLOSS:	we+said/say/be said/say/(for example)

 INPUT STRING:	لشركات
     IS_TRANS:	l$rkAt
        INDEX:	P1W3
      OFFSETS:	12-18
       TOKENS:	P1W3-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$arikap_1]
   UNSPLITVOC:	(li$arikAt)
          POS:	PREP+NOUN+NSUFF_FEM_PL
          VOC:	li+$arik+At
        GLOSS:	for/to+company/corporation/companies/corporations+[fem.pl.]

 INPUT STRING:	موبينيل
     IS_TRANS:	mwbynyl
        INDEX:	P1W4
      OFFSETS:	21-28
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwbiyniyl_1]
   UNSPLITVOC:	(muwbiyniyl)
          POS:	NOUN_PROP
          VOC:	muwbiyniyl
        GLOSS:	MobiNil

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P1W5
      OFFSETS:	28-29
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	فودافون
     IS_TRANS:	fwdAfwn
        INDEX:	P1W6
      OFFSETS:	29-36
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fuwdAfuwn_1]
   UNSPLITVOC:	(fuwdAfuwn)
          POS:	NOUN_PROP
          VOC:	fuwdAfuwn
        GLOSS:	Vodafone

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P1W7
      OFFSETS:	36-37
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	اتصالات
     IS_TRANS:	AtSAlAt
        INDEX:	P1W8
      OFFSETS:	37-44
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~iSAl_1]
   UNSPLITVOC:	(Ait~iSAlAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	Ait~iSAl+At
        GLOSS:	contact/communication+[fem.pl.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W9
      OFFSETS:	46-47
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W10
      OFFSETS:	47-48
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	اننا
     IS_TRANS:	AnnA
        INDEX:	P1W11
      OFFSETS:	49-53
       TOKENS:	P1W12-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
