 INPUT STRING:	بسم
     IS_TRANS:	bsm
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sim~_1]
   UNSPLITVOC:	(bisim~)
          POS:	PREP+NOUN
          VOC:	bi+sim~
        GLOSS:	in/by+(the) Name of

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P1W2
      OFFSETS:	4-8
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	الرحمن
     IS_TRANS:	AlrHmn
        INDEX:	P1W3
      OFFSETS:	9-15
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[raHom`n_2]
   UNSPLITVOC:	(AlraHom`n)
          POS:	DET+ADJ
          VOC:	Al+raHom`n
        GLOSS:	the+merciful

 INPUT STRING:	الرحييييم
     IS_TRANS:	AlrHyyyym
        INDEX:	P1W4
      OFFSETS:	16-25
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[raHiym_1]
   UNSPLITVOC:	(AlraHiym)
          POS:	DET+ADJ
          VOC:	Al+raHiym
        GLOSS:	the+compassionate

 INPUT STRING:	ياااااااااااا
     IS_TRANS:	yAAAAAAAAAAAA
        INDEX:	P2W1
      OFFSETS:	0-13
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	Oh

 INPUT STRING:	فتوكات
     IS_TRANS:	ftwkAt
        INDEX:	P2W2
      OFFSETS:	14-20
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ftwkAt)
          POS:	NO_FUNC
          VOC:	ftwkAt
        GLOSS:	nogloss

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P2W3
      OFFSETS:	21-23
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	انساااااااانات
     IS_TRANS:	AnsAAAAAAAAnAt
        INDEX:	P2W4
      OFFSETS:	24-38
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|nisap_1]
   UNSPLITVOC:	(|nisAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	|nis+At
        GLOSS:	lady/Miss+[fem.pl.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P2W5
      OFFSETS:	39-42
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	بحب
     IS_TRANS:	bHb
        INDEX:	P2W6
      OFFSETS:	43-46
       TOKENS:	P2W6-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(biAaHab~)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+>a+Hab~
        GLOSS:	[present-tense]+I+love/like

 INPUT STRING:	فتكات
     IS_TRANS:	ftkAt
        INDEX:	P2W7
      OFFSETS:	47-52
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fatokap]
   UNSPLITVOC:	(fatakAt)
          POS:	NOUN_PROP+NSUFF_FEM_PL
          VOC:	fatak+At
        GLOSS:	fatakat+[fem.pl.]

 INPUT STRING:	وبحب
     IS_TRANS:	wbHb
        INDEX:	P2W8
      OFFSETS:	53-57
       TOKENS:	P2W9-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(wabAaHab~)
          POS:	CONJ+PROG_PART+IV1S+IV
          VOC:	wa+bi+>a+Hab~
        GLOSS:	and+[present-tense]+I+love/like

 INPUT STRING:	لمتنااااا
     IS_TRANS:	lmtnAAAAA
        INDEX:	P2W9
      OFFSETS:	58-67
       TOKENS:	P2W12-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lam~ap_1]
   UNSPLITVOC:	(lam~atna)
