 INPUT STRING:	تداول
     IS_TRANS:	tdAwl
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tadAwul_1]
   UNSPLITVOC:	(tadAwul)
          POS:	NOUN.VN
          VOC:	tadAwul
        GLOSS:	alternation/circulation

 INPUT STRING:	نشطاء
     IS_TRANS:	n$TA'
        INDEX:	P1W2
      OFFSETS:	6-11
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[na$iyT_1]
   UNSPLITVOC:	(nu$aTA')
          POS:	ADJ
          VOC:	nu$aTA'
        GLOSS:	active/energetic

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P1W3
      OFFSETS:	12-15
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/ above

 INPUT STRING:	موقع
     IS_TRANS:	mwqE
        INDEX:	P1W4
      OFFSETS:	16-20
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqiE_1]
   UNSPLITVOC:	(mawqiE)
          POS:	NOUN
          VOC:	mawqiE
        GLOSS:	position/location/site

 INPUT STRING:	التواصل
     IS_TRANS:	AltwASl
        INDEX:	P1W5
      OFFSETS:	21-28
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawASul_1]
   UNSPLITVOC:	(Alt~awASul)
          POS:	DET+NOUN
          VOC:	Al+tawASul
        GLOSS:	the+continuity/continuation

 INPUT STRING:	الاجتماعى
     IS_TRANS:	AlAjtmAEY
        INDEX:	P1W6
      OFFSETS:	29-38
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ijotimAEiy_1]
   UNSPLITVOC:	(Al<ijotimAEiy)
          POS:	DET+ADJ
          VOC:	Al+<ijotimAEiy
        GLOSS:	the+society

 INPUT STRING:	فيس
     IS_TRANS:	fys
        INDEX:	P1W7
      OFFSETS:	40-43
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fys)
          POS:	FOREIGN
          VOC:	fys
        GLOSS:	nogloss

 INPUT STRING:	بوك
     IS_TRANS:	bwk
        INDEX:	P1W8
      OFFSETS:	44-47
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bwk)
          POS:	FOREIGN
          VOC:	bwk
        GLOSS:	nogloss

 INPUT STRING:	صورة
     IS_TRANS:	Swrp
        INDEX:	P1W9
      OFFSETS:	49-53
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Suwr+ap
        GLOSS:	picture/image/illustration/photo/pictures/photographs/illustrations/photos+[fem.sg.]

 INPUT STRING:	وفيديو
     IS_TRANS:	wfydyw
        INDEX:	P1W10
      OFFSETS:	54-60
       TOKENS:	P1W10-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiydyuw_1]
   UNSPLITVOC:	(wifiydyuw)
          POS:	CONJ+NOUN
          VOC:	wi+fiydyuw
        GLOSS:	and+video

 INPUT STRING:	لـ
     IS_TRANS:	l_
        INDEX:	P1W11
      OFFSETS:	61-63
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(li)
          POS:	PREP
          VOC:	li
        GLOSS:	to/for

 INPUT STRING:	الفتاة
     IS_TRANS:	AlftAp
        INDEX:	P1W12
      OFFSETS:	64-70
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fatAap_1]
   UNSPLITVOC:	(AlfatAap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fatA+ap
        GLOSS:	the+young girl+[fem.sg.]

 INPUT STRING:	المسحولة
     IS_TRANS:	AlmsHwlp
        INDEX:	P1W13
      OFFSETS:	71-79
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[masoHuwl_1]
   UNSPLITVOC:	(AlmasoHuwlap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+masoHuwl+ap
        GLOSS:	the+abrasion+[fem.sg.]

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P1W14
      OFFSETS:	81-85
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	انتشرت
     IS_TRANS:	Ant$rt
        INDEX:	P1W15
      OFFSETS:	86-92
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota$ar_1]
   UNSPLITVOC:	(Ainota$arit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Ainota$ar+it
        GLOSS:	be spread+it/they/she

 INPUT STRING:	صورها
     IS_TRANS:	SwrhA
        INDEX:	P1W16
      OFFSETS:	93-98
       TOKENS:	P1W17-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(SuwarhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	Suwar+hA
        GLOSS:	picture/image/illustration/photo/pictures/photographs/illustrations/photos+its/their/her

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P1W17
      OFFSETS:	99-102
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/ above

 INPUT STRING:	المواقع
     IS_TRANS:	AlmwAqE
        INDEX:	P1W18
      OFFSETS:	103-110
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mawoqiE_1]
   UNSPLITVOC:	(AlmawAqiE)
          POS:	DET+NOUN
          VOC:	Al+mawAqiE
        GLOSS:	the+positions/locations/sites

 INPUT STRING:	والصحف
     IS_TRANS:	wAlSHf
        INDEX:	P1W19
      OFFSETS:	111-117
       TOKENS:	P1W21-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[SaHiyfap_1]
   UNSPLITVOC:	(waAlSuHuf)
          POS:	CONJ+DET+NOUN
          VOC:	wa+Al+SuHuf
        GLOSS:	and+the+newspapers

 INPUT STRING:	والتليفزيون
     IS_TRANS:	wAltlyfzywn
        INDEX:	P1W20
      OFFSETS:	118-129
       TOKENS:	P1W23-P1W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tilofizyuwn_1]
   UNSPLITVOC:	(waAltiliyfizyuwn)
          POS:	CONJ+DET+NOUN
          VOC:	wa+Al+tiliyfizyuwn
        GLOSS:	and+the+television

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P1W21
      OFFSETS:	129-130
       TOKENS:	P1W25-P1W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	والتى
     IS_TRANS:	wAltY
        INDEX:	P1W22
      OFFSETS:	131-136
       TOKENS:	P1W26-P1W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(waAl~atiy)
          POS:	CONJ+REL_PRON
          VOC:	wa+Al~atiy
        GLOSS:	and+which/who/whom [fem.sg.]

 INPUT STRING:	تم
     IS_TRANS:	tm
        INDEX:	P1W23
      OFFSETS:	137-139
       TOKENS:	P1W28-P1W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(tam~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	tam~+(null)
        GLOSS:	conclude/take place+he/it

 INPUT STRING:	سحلها
     IS_TRANS:	sHlhA
        INDEX:	P1W24
      OFFSETS:	140-145
       TOKENS:	P1W29-P1W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[saHol_1]
   UNSPLITVOC:	(sHlahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	saHl+hA
        GLOSS:	abrasion+its/their/her

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W25
      OFFSETS:	146-148
       TOKENS:	P1W31-P1W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P1W26
      OFFSETS:	149-152
       TOKENS:	P1W32-P1W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qibal_1]
   UNSPLITVOC:	(qibal)
          POS:	NOUN
          VOC:	qibal
        GLOSS:	(on the) part of

 INPUT STRING:	رجال
     IS_TRANS:	rjAl
        INDEX:	P1W27
      OFFSETS:	153-157
       TOKENS:	P1W33-P1W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rajul_1]
   UNSPLITVOC:	(rijAl)
          POS:	NOUN
          VOC:	rijAl
        GLOSS:	men/people

 INPUT STRING:	القوات
     IS_TRANS:	AlqwAt
        INDEX:	P1W28
      OFFSETS:	158-164
       TOKENS:	P1W34-P1W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(Alquw~At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+quw~+At
        GLOSS:	the+power/strength/force/violence/armed forces/power/forces+[fem.pl.]

 INPUT STRING:	المسلحة
     IS_TRANS:	AlmslHp
        INDEX:	P1W29
      OFFSETS:	165-172
       TOKENS:	P1W35-P1W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musal~aH_1]
   UNSPLITVOC:	(Almusal~aHap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+musal~aH+ap
        GLOSS:	the+armored/reinforced+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W30
      OFFSETS:	172-173
       TOKENS:	P1W36-P1W36
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	النشطاء
     IS_TRANS:	Aln$TA'
        INDEX:	P2W1
      OFFSETS:	0-7
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
