 INPUT STRING:	الرسالة
     IS_TRANS:	AlrsAlp
        INDEX:	P1W1
      OFFSETS:	0-7
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[risAlap_1]
   UNSPLITVOC:	(Alr~isAlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+risAl+ap
        GLOSS:	the+letter/communication/dissertation/letters/messages/mission/task+[fem.sg.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P1W2
      OFFSETS:	8-10
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON
          VOC:	diy
        GLOSS:	these/this

 INPUT STRING:	أوتوماتيكية
     IS_TRANS:	>wtwmAtykyp
        INDEX:	P1W3
      OFFSETS:	11-22
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>uwtuwmAtiykiy_1]
   UNSPLITVOC:	(>uwtuwmAtiykiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	>uwtuwmAtiykiy~+ap
        GLOSS:	automatic+[fem.sg.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P1W4
      OFFSETS:	23-25
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	قلم
     IS_TRANS:	qlm
        INDEX:	P1W5
      OFFSETS:	26-29
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalam_1]
   UNSPLITVOC:	(qalam)
          POS:	NOUN
          VOC:	qalam
        GLOSS:	pencil/pen/pencils/pens

 INPUT STRING:	رصاص
     IS_TRANS:	rSAS
        INDEX:	P1W6
      OFFSETS:	30-34
       TOKENS:	P1W6-P1W6
