 INPUT STRING:	كلت
     IS_TRANS:	klt
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>akal_1]
   UNSPLITVOC:	(kalt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kal+t
        GLOSS:	eat+I

 INPUT STRING:	نصها
     IS_TRANS:	nShA
        INDEX:	P1W2
      OFFSETS:	4-8
       TOKENS:	P1W2-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuS~_1]
   UNSPLITVOC:	(nuS~ahA)
          POS:	NOUN_QUANT+POSS_PRON_3FS
          VOC:	nuS~+hA
        GLOSS:	halves/half/centre half/splitting/crack/gap/cracks/gaps+its/their/her

 INPUT STRING:	بفكر
     IS_TRANS:	bfkr
        INDEX:	P1W3
      OFFSETS:	9-13
       TOKENS:	P1W4-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(bafak~ar)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+fak~ar
        GLOSS:	[present-tense]+I+think/consider/ponder

 INPUT STRING:	اكملها
     IS_TRANS:	AkmlhA
        INDEX:	P1W4
      OFFSETS:	14-20
       TOKENS:	P1W6-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kam~il_1]
   UNSPLITVOC:	(Aakam~ilhA)
          POS:	IV1S+IV+IVSUFF_DO:3FS
          VOC:	Aa+kam~il+hA
        GLOSS:	I+complete/finish+it/them/her

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P1W5
      OFFSETS:	21-22
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	امسح
     IS_TRANS:	AmsH
        INDEX:	P1W6
      OFFSETS:	23-27
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[masaH_1]
   UNSPLITVOC:	(AamosaH)
          POS:	IV1S+IV
          VOC:	Aa+mosaH
        GLOSS:	I+wipe off/survey/measure

 INPUT STRING:	البوست
     IS_TRANS:	Albwst
        INDEX:	P1W7
      OFFSETS:	28-34
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Albwst)
          POS:	FOREIGN
          VOC:	Albwst
        GLOSS:	nogloss

 INPUT STRING:	بحيث
     IS_TRANS:	bHyv
        INDEX:	P1W8
      OFFSETS:	35-39
       TOKENS:	P1W11-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hiyv_1]
   UNSPLITVOC:	(biHiyv)
          POS:	PREP+REL_ADV
          VOC:	bi+Hiyv
        GLOSS:	by+where/whereby/since/given that

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P1W9
      OFFSETS:	40-43
       TOKENS:	P1W13-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not/non-

 INPUT STRING:	كانى
     IS_TRANS:	kAnY
        INDEX:	P1W10
      OFFSETS:	44-48
       TOKENS:	P1W15-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ka<in~_1]
   UNSPLITVOC:	(ka<in~iy)
          POS:	PSEUDO_VERB+PRON_1S
          VOC:	ka<in~+iy
        GLOSS:	as if+I

 INPUT STRING:	عملت
     IS_TRANS:	Emlt
        INDEX:	P1W11
      OFFSETS:	49-53
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
