 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P1W2
      OFFSETS:	4-7
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	شايفه
     IS_TRANS:	$Ayfh
        INDEX:	P1W3
      OFFSETS:	8-13
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($Ayofap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	$Ayof+ap
        GLOSS:	seeing+[fem.sg.]

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P1W4
      OFFSETS:	14-17
       TOKENS:	P1W4-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	حر
     IS_TRANS:	Hr
        INDEX:	P1W5
      OFFSETS:	18-20
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hur~_1]
   UNSPLITVOC:	(Hur~)
          POS:	ADJ
          VOC:	Hur~
        GLOSS:	free/independent

 INPUT STRING:	يسدد
     IS_TRANS:	ysdd
        INDEX:	P1W6
      OFFSETS:	21-25
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sad~id_1]
   UNSPLITVOC:	(yisad~id)
          POS:	IV3MS+IV
          VOC:	yi+sad~id
        GLOSS:	he/it+pay off

 INPUT STRING:	الفاتوره
     IS_TRANS:	AlfAtwrh
        INDEX:	P1W7
      OFFSETS:	26-34
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAtuwrap_1]
   UNSPLITVOC:	(AlfAtuwrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fAtuwr+ap
        GLOSS:	the+invoice/bill+[fem.sg.]

 INPUT STRING:	برحته
     IS_TRANS:	brHth
        INDEX:	P1W8
      OFFSETS:	35-40
       TOKENS:	P1W9-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAHap_1]
   UNSPLITVOC:	(biraHatuh)
          POS:	PREP+NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	bi+raH+ap+uh
        GLOSS:	with/by+freedom+[fem.sg.]+his/its

 INPUT STRING:	ونا
     IS_TRANS:	wnA
        INDEX:	P1W9
      OFFSETS:	41-44
       TOKENS:	P1W12-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>anA_1]
   UNSPLITVOC:	(w>anA)
          POS:	CONJ+PRON_1S
          VOC:	w+>anA
        GLOSS:	and+I

