 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(h`*A)
          POS:	DEM_PRON_MS
          VOC:	h`*A
        GLOSS:	this [masc.sg.]

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P1W2
      OFFSETS:	4-6
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huwa_1]
   UNSPLITVOC:	(huwa)
          POS:	PRON_3MS
          VOC:	huwa
        GLOSS:	it/he

 INPUT STRING:	الهدف
     IS_TRANS:	Alhdf
        INDEX:	P1W3
      OFFSETS:	7-12
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadaf_1]
   UNSPLITVOC:	(Alhadaf)
          POS:	DET+NOUN
          VOC:	Al+hadaf
        GLOSS:	the+goal/objective/intention

 INPUT STRING:	بوضوح
     IS_TRANS:	bwDwH
        INDEX:	P1W4
      OFFSETS:	13-18
       TOKENS:	P1W4-P1W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wuDuwH_1]
   UNSPLITVOC:	(biwuDuwH)
          POS:	PREP+NOUN
          VOC:	bi+wuDuwH
        GLOSS:	with/by+clarity/plainness

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P1W5
      OFFSETS:	18-19
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	تفتيت
     IS_TRANS:	tftyt
        INDEX:	P1W6
      OFFSETS:	20-25
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tafotiyt_1]
   UNSPLITVOC:	(tafotiyt)
          POS:	NOUN
          VOC:	tafotiyt
        GLOSS:	partitioning/dismemberment

 INPUT STRING:	السودان
     IS_TRANS:	AlswdAn
        INDEX:	P1W7
      OFFSETS:	26-33
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[suwdAn_1]
   UNSPLITVOC:	(AlsuwdAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+suwdAn
        GLOSS:	the+Sudan

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W8
      OFFSETS:	33-34
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W9
      OFFSETS:	34-35
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	لقد
     IS_TRANS:	lqd
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qado_1]
   UNSPLITVOC:	(laqado)
          POS:	VERB_PART
          VOC:	laqado
        GLOSS:	already

 INPUT STRING:	تنامى
     IS_TRANS:	tnAmY
        INDEX:	P2W2
      OFFSETS:	4-9
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[tanAmaY_1]
   UNSPLITVOC:	(tanAmaY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	tanAmaY+(null)
        GLOSS:	grow gradually/increase continually+he/it [verb]

 INPUT STRING:	خطر
     IS_TRANS:	xTr
        INDEX:	P2W3
      OFFSETS:	10-13
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaTar_1]
   UNSPLITVOC:	(xaTar)
          POS:	NOUN
          VOC:	xaTar
        GLOSS:	danger/threat/menace

 INPUT STRING:	السودان
     IS_TRANS:	AlswdAn
        INDEX:	P2W4
      OFFSETS:	14-21
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suwdAn_1]
   UNSPLITVOC:	(Als~uwdAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+suwdAn
        GLOSS:	the+Sudan

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W5
      OFFSETS:	22-24
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	عيون
     IS_TRANS:	Eywn
        INDEX:	P2W6
      OFFSETS:	25-29
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eayon_1]
   UNSPLITVOC:	(Euyuwn)
          POS:	NOUN
          VOC:	Euyuwn
        GLOSS:	eyes

 INPUT STRING:	الغرب
     IS_TRANS:	Algrb
        INDEX:	P2W7
      OFFSETS:	30-35
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[garob_1]
   UNSPLITVOC:	(Algarob)
          POS:	DET+NOUN
          VOC:	Al+garob
        GLOSS:	the+west/West

 INPUT STRING:	والصهاينة
     IS_TRANS:	wAlShAynp
        INDEX:	P2W8
      OFFSETS:	36-45
       TOKENS:	P2W8-P2W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Sahoyuwniy~_1]
   UNSPLITVOC:	(waAlSahAyinap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wa+Al+SahAyin+ap
        GLOSS:	and+the+Zionists+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W9
      OFFSETS:	46-48
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	السنوات
     IS_TRANS:	AlsnwAt
        INDEX:	P2W10
      OFFSETS:	49-56
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(AlsanawAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+sanaw+At
        GLOSS:	the+years+[fem.pl.]

 INPUT STRING:	الأخيرة
     IS_TRANS:	Al>xyrp
        INDEX:	P2W11
      OFFSETS:	57-64
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>axiyr_1]
   UNSPLITVOC:	(Al>axiyrap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+>axiyr+ap
        GLOSS:	the+last/latest/recent/latter+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P2W12
      OFFSETS:	64-65
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وخاصةً
     IS_TRANS:	wxASpF
        INDEX:	P2W13
      OFFSETS:	66-72
       TOKENS:	P2W14-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAS~ap_1]
   UNSPLITVOC:	(wixAS~apF)
          POS:	CONJ+ADJ+NSUFF_FEM_SG+CASE_INDEF_ACC
          VOC:	wi+xAS~+ap+F
        GLOSS:	and+special/specific+[fem.sg.]+[indef.acc.]

 INPUT STRING:	أنه
     IS_TRANS:	>nh
        INDEX:	P2W14
      OFFSETS:	73-76
       TOKENS:	P2W16-P2W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~ahu)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	>an~a+hu
        GLOSS:	that+it/he

 INPUT STRING:	بلد
     IS_TRANS:	bld
        INDEX:	P2W15
      OFFSETS:	77-80
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(balad)
          POS:	NOUN
          VOC:	balad
        GLOSS:	country

 INPUT STRING:	كبير
     IS_TRANS:	kbyr
        INDEX:	P2W16
      OFFSETS:	81-85
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(kibiyr)
          POS:	ADJ
          VOC:	kibiyr
        GLOSS:	large/great/important

 INPUT STRING:	جدًّا
     IS_TRANS:	jd~FA
        INDEX:	P2W17
      OFFSETS:	86-91
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very much/seriousness+[acc.indef.]

 INPUT STRING:	تزيد
     IS_TRANS:	tzyd
        INDEX:	P2W18
      OFFSETS:	92-96
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zAd-i_1]
   UNSPLITVOC:	(taziydu)
          POS:	IV3FS+IV+IVSUFF_MOOD:I
          VOC:	ta+ziyd+u
        GLOSS:	it/they/she+increase/exceed/add+[ind.]

 INPUT STRING:	مساحة
     IS_TRANS:	msAHp
        INDEX:	P2W19
      OFFSETS:	97-102
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misAHap_1]
