 INPUT STRING:	وجة
     IS_TRANS:	wjp
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waj~ih_1]
   UNSPLITVOC:	(waj~ih)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	waj~ih+(null)
        GLOSS:	direct+he/it

 INPUT STRING:	اتحاد
     IS_TRANS:	AtHAd
        INDEX:	P1W2
      OFFSETS:	4-9
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~iHAd_1]
   UNSPLITVOC:	(Ait~iHAd)
          POS:	NOUN
          VOC:	Ait~iHAd
        GLOSS:	union

 INPUT STRING:	طلاب
     IS_TRANS:	TlAb
        INDEX:	P1W3
      OFFSETS:	10-14
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAlib_1]
   UNSPLITVOC:	(Tul~Ab)
          POS:	NOUN
          VOC:	Tul~Ab
        GLOSS:	student/students

 INPUT STRING:	جامعات
     IS_TRANS:	jAmEAt
        INDEX:	P1W4
      OFFSETS:	15-21
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAmiEap_1]
   UNSPLITVOC:	(jAmiEAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	jAmiE+At
        GLOSS:	universities+[fem.pl.]

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P1W5
      OFFSETS:	22-25
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	رسالة
     IS_TRANS:	rsAlp
        INDEX:	P1W6
      OFFSETS:	26-31
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[risAlap_1]
   UNSPLITVOC:	(risAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	risAl+ap
        GLOSS:	letter/communication/dissertation/letters/messages+[fem.sg.]

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P1W7
      OFFSETS:	32-35
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P1W8
      OFFSETS:	36-42
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	العسكرى
     IS_TRANS:	AlEskrY
        INDEX:	P1W9
      OFFSETS:	43-50
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+ADJ
          VOC:	Al+Easokariy
        GLOSS:	the+military/army

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W10
      OFFSETS:	51-53
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	خلال
     IS_TRANS:	xlAl
        INDEX:	P1W11
      OFFSETS:	54-58
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xilAl_1]
   UNSPLITVOC:	(xilAl)
          POS:	NOUN
          VOC:	xilAl
        GLOSS:	during/through/(by) means (of)/via/through

 INPUT STRING:	صفحتهم
     IS_TRANS:	SfHthm
        INDEX:	P1W12
      OFFSETS:	59-65
       TOKENS:	P1W12-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SafoHap_1]
   UNSPLITVOC:	(SafoHithum)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3P
          VOC:	SafoH+ap+hum
        GLOSS:	page+[fem.sg.]+their

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P1W13
      OFFSETS:	66-69
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الفيس
     IS_TRANS:	Alfys
        INDEX:	P1W14
      OFFSETS:	70-75
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiys_1]
   UNSPLITVOC:	(Alfiys)
          POS:	DET+FOREIGN
          VOC:	Al+fiys
        GLOSS:	the+face

 INPUT STRING:	بوك
     IS_TRANS:	bwk
        INDEX:	P1W15
      OFFSETS:	76-79
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bwk_1]
   UNSPLITVOC:	(bwk)
          POS:	FOREIGN
          VOC:	bwk
        GLOSS:	book

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P1W16
      OFFSETS:	80-81
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	فجاء
     IS_TRANS:	fjA'
        INDEX:	P1W17
      OFFSETS:	82-86
       TOKENS:	P1W18-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jA'_1]
   UNSPLITVOC:	(fajA')
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	fa+jA'+(null)
        GLOSS:	so/and+come+he/it

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W18
      OFFSETS:	87-89
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	البيان
     IS_TRANS:	AlbyAn
        INDEX:	P1W19
      OFFSETS:	90-96
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayAn_1]
   UNSPLITVOC:	(AlbayAn)
