 INPUT STRING:	والد
     IS_TRANS:	wAld
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAlid_1]
   UNSPLITVOC:	(wAlid)
          POS:	NOUN
          VOC:	wAlid
        GLOSS:	father/parents/father and mother/mother

 INPUT STRING:	صاحبتنا
     IS_TRANS:	SAHbtnA
        INDEX:	P1W2
      OFFSETS:	5-12
       TOKENS:	P1W2-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[SAHib_1]
   UNSPLITVOC:	(SAHobitnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	SAHob+ap+nA
        GLOSS:	friend+[fem.sg.]+our

 INPUT STRING:	مربض
     IS_TRANS:	mrbD
        INDEX:	P1W3
      OFFSETS:	13-17
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mrbD)
          POS:	TYPO
          VOC:	mrbD
        GLOSS:	nogloss

 INPUT STRING:	ولسه
     IS_TRANS:	wlsh
        INDEX:	P1W4
      OFFSETS:	18-22
       TOKENS:	P1W5-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(wilis~ah)
          POS:	CONJ+ADV
          VOC:	wi+lis~ah
        GLOSS:	and+yet

 INPUT STRING:	طالع
     IS_TRANS:	TAlE
        INDEX:	P1W5
      OFFSETS:	23-27
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAliE_1]
   UNSPLITVOC:	(TAliE)
          POS:	ADJ
          VOC:	TAliE
        GLOSS:	rising/ascending

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W6
      OFFSETS:	28-30
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	المستشفى
     IS_TRANS:	Almst$fY
        INDEX:	P1W7
      OFFSETS:	31-39
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musota$ofaY_1]
   UNSPLITVOC:	(Almusota$ofaY)
          POS:	DET+NOUN
          VOC:	Al+musota$ofaY
        GLOSS:	the+hospital/hospitals

 INPUT STRING:	امبارح
     IS_TRANS:	AmbArH
        INDEX:	P1W8
      OFFSETS:	40-46
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imobAriH_1]
   UNSPLITVOC:	(<imobAriH)
          POS:	NOUN
          VOC:	<imobAriH
        GLOSS:	yesterday

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P1W9
      OFFSETS:	47-51
       TOKENS:	P1W11-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(waAnA)
          POS:	CONJ+PRON_1S
          VOC:	wa+AnA
        GLOSS:	and+I/me

 INPUT STRING:	كلمتها
     IS_TRANS:	klmthA
        INDEX:	P1W10
      OFFSETS:	52-58
       TOKENS:	P1W13-P1W14
