 INPUT STRING:	المسيحيون
     IS_TRANS:	AlmsyHywn
        INDEX:	P1W1
      OFFSETS:	2-11
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[masiyHiy~_1]
   UNSPLITVOC:	(AlmasiyHiy~uwna)
          POS:	DET+NOUN+NSUFF_MASC_PL_NOM
          VOC:	Al+masiyHiy~+uwna
        GLOSS:	the+Christian+[masc.pl.]

 INPUT STRING:	سوف
     IS_TRANS:	swf
        INDEX:	P1W2
      OFFSETS:	12-15
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sawofa_1]
   UNSPLITVOC:	(sawofa)
          POS:	FUT_PART
          VOC:	sawofa
        GLOSS:	will/shall

 INPUT STRING:	يجاهدون
     IS_TRANS:	yjAhdwn
        INDEX:	P1W3
      OFFSETS:	16-23
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jAhad_1]
   UNSPLITVOC:	(yujAhiduwn)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yu+jAhid+uwn
        GLOSS:	they (people)+wage war or Jihad (against)+[masc.pl.]

 INPUT STRING:	ويستشهدون
     IS_TRANS:	wyst$hdwn
        INDEX:	P1W4
      OFFSETS:	24-33
       TOKENS:	P1W4-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aisota$ohad_1]
   UNSPLITVOC:	(wayusota$ohiduwn)
          POS:	CONJ+IV3P+IV_PASS+IVSUFF_SUBJ:P
          VOC:	wa+yu+sota$ohid+uwn
        GLOSS:	and+they (people)+be martyred/die in battle+[masc.pl.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P1W5
      OFFSETS:	34-36
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	سبيل
     IS_TRANS:	sbyl
        INDEX:	P1W6
      OFFSETS:	37-41
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabiyl_1]
   UNSPLITVOC:	(sabiyl)
          POS:	NOUN
          VOC:	sabiyl
        GLOSS:	way/road

 INPUT STRING:	عقيدتهم
     IS_TRANS:	Eqydthm
        INDEX:	P1W7
      OFFSETS:	42-49
       TOKENS:	P1W8-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eaqiydaph_1]
   UNSPLITVOC:	(Eaqiydithum)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3P
          VOC:	Eaqiyd+ap+hum
        GLOSS:	doctrine/creed/dogma+[fem.sg.]+their

 INPUT STRING:	اذا
     IS_TRANS:	A*A
        INDEX:	P1W8
      OFFSETS:	50-53
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai*A_1]
   UNSPLITVOC:	(<i*A)
          POS:	SUB_CONJ
          VOC:	<i*A
        GLOSS:	If, whether, when, whenever

