 INPUT STRING:	حملة
     IS_TRANS:	Hmlp
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamolap_1]
   UNSPLITVOC:	(Hamolap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Hamol+ap
        GLOSS:	campaign/expedition/attack/campaigns/expeditions/attacks+[fem.sg.]

 INPUT STRING:	شعبية
     IS_TRANS:	$Ebyp
        INDEX:	P1W2
      OFFSETS:	5-10
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$aEobiy_1]
   UNSPLITVOC:	($aEobiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	$aEobiy~+ap
        GLOSS:	popular/national/people's+[fem.sg.]

 INPUT STRING:	ضد
     IS_TRANS:	Dd
        INDEX:	P1W3
      OFFSETS:	11-13
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Did~_1]
   UNSPLITVOC:	(Did~)
          POS:	NOUN
          VOC:	Did~
        GLOSS:	contrary/against/opposed/anti-/counter-/opposites

 INPUT STRING:	الاعتداء
     IS_TRANS:	AlAEtdA'
        INDEX:	P1W4
      OFFSETS:	14-22
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotidA'_1]
   UNSPLITVOC:	(AlAiEotidA')
          POS:	DET+NOUN
          VOC:	Al+AiEotidA'
        GLOSS:	the+attack/aggression/assault

 INPUT STRING:	الوحشى
     IS_TRANS:	AlwH$Y
        INDEX:	P1W5
      OFFSETS:	23-29
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHo$iy_1]
   UNSPLITVOC:	(AlwaHo$iy)
          POS:	DET+ADJ
          VOC:	Al+waHo$iy
        GLOSS:	the+brutal/savage

 INPUT STRING:	الاسرائيلى
     IS_TRANS:	AlAsrA}ylY
        INDEX:	P1W6
      OFFSETS:	30-40
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyliy_1]
   UNSPLITVOC:	(Al<isorA}iyliy)
          POS:	DET+ADJ
          VOC:	Al+<isorA}iyliy
        GLOSS:	the+Israeli

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P1W7
      OFFSETS:	41-44
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	أسطول
     IS_TRANS:	>sTwl
        INDEX:	P1W8
      OFFSETS:	45-50
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>usoTuwl_1]
   UNSPLITVOC:	(>usoTuwl)
          POS:	NOUN
          VOC:	>usoTuwl
        GLOSS:	fleet/squadron

 INPUT STRING:	الحرية
     IS_TRANS:	AlHryp
        INDEX:	P1W9
      OFFSETS:	51-57
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
