 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	منكم
     IS_TRANS:	mnkm
        INDEX:	P1W2
      OFFSETS:	4-8
       TOKENS:	P1W2-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minkum)
          POS:	PREP+PRON_2P
          VOC:	min+kum
        GLOSS:	from+you [masc.pl.]

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P1W3
      OFFSETS:	9-11
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maE
        GLOSS:	something with

 INPUT STRING:	قيادة
     IS_TRANS:	qyAdp
        INDEX:	P1W4
      OFFSETS:	12-17
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiyAdap_1]
   UNSPLITVOC:	(qiyAdap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qiyAd+ap
        GLOSS:	leadership+[fem.sg.]

 INPUT STRING:	المرأة
     IS_TRANS:	Almr>p
        INDEX:	P1W5
      OFFSETS:	18-24
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maro>ap_1]
   UNSPLITVOC:	(Almaro>ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maro>+ap
        GLOSS:	the+woman+[fem.sg.]

 INPUT STRING:	للسيارات
     IS_TRANS:	llsyArAt
        INDEX:	P1W6
      OFFSETS:	25-33
       TOKENS:	P1W7-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~Arap_1]
   UNSPLITVOC:	(lils~ay~ArAt)
          POS:	PREP+DET+NOUN+NSUFF_FEM_PL
          VOC:	li+Al+say~Ar+At
        GLOSS:	for/to+the+car/automobile/vehicle/cars/automobiles/vehicles+[fem.pl.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P1W7
      OFFSETS:	33-34
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P1W8
      OFFSETS:	34-35
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	وليه
     IS_TRANS:	wlyh
        INDEX:	P1W9
      OFFSETS:	36-40
       TOKENS:	P1W11-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(wilayoh)
          POS:	CONJ+REL_ADV
          VOC:	wi+layoh
        GLOSS:	and+why

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P1W10
      OFFSETS:	40-41
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P1W11
      OFFSETS:	41-42
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	ومين
     IS_TRANS:	wmyn
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(wamiyn)
          POS:	CONJ+INTERROG_PRON
          VOC:	wa+miyn
        GLOSS:	and+who

 INPUT STRING:	منكم
     IS_TRANS:	mnkm
        INDEX:	P2W2
      OFFSETS:	5-9
       TOKENS:	P2W3-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minkum)
          POS:	PREP+PRON_2P
          VOC:	min+kum
        GLOSS:	from+you [masc.pl.]

 INPUT STRING:	ضدها
     IS_TRANS:	DdhA
        INDEX:	P2W3
      OFFSETS:	10-14
       TOKENS:	P2W5-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Did~_1]
   UNSPLITVOC:	(Did~hA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	Did~+hA
        GLOSS:	contrary/against/opposed/anti-/counter-/opposites+its/their/her

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W4
      OFFSETS:	14-15
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W5
      OFFSETS:	15-16
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
