 INPUT STRING:	معلش
     IS_TRANS:	mEl$
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoli$_1]
   UNSPLITVOC:	(maEoli$)
          POS:	INTERJ
          VOC:	maEoli$
        GLOSS:	sorry/never mind

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P1W2
      OFFSETS:	5-7
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	رباب
     IS_TRANS:	rbAb
        INDEX:	P1W3
      OFFSETS:	8-12
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rabAb_1]
   UNSPLITVOC:	(rabAb)
          POS:	NOUN_PROP
          VOC:	rabAb
        GLOSS:	Rabab

 INPUT STRING:	سؤال
     IS_TRANS:	s&Al
        INDEX:	P1W4
      OFFSETS:	13-17
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(su&Al)
          POS:	NOUN
          VOC:	su&Al
        GLOSS:	question/inquiry/questions/inquiries

 INPUT STRING:	سريع
     IS_TRANS:	sryE
        INDEX:	P1W5
      OFFSETS:	18-22
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sariyE_1]
   UNSPLITVOC:	(sariyE)
          POS:	ADJ
          VOC:	sariyE
        GLOSS:	quick/prompt/express/quickly/promptly

 INPUT STRING:	العام
     IS_TRANS:	AlEAm
        INDEX:	P2W1
      OFFSETS:	0-5
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(AlEAm)
          POS:	DET+NOUN
          VOC:	Al+EAm
        GLOSS:	the+year/years

 INPUT STRING:	الدراسي
     IS_TRANS:	AldrAsy
        INDEX:	P2W2
      OFFSETS:	6-13
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dirAsiy_1]
   UNSPLITVOC:	(AldirAsiy)
          POS:	DET+ADJ
          VOC:	Al+dirAsiy
        GLOSS:	the+educational/scholastic/instructional

 INPUT STRING:	الجديد
     IS_TRANS:	Aljdyd
        INDEX:	P2W3
      OFFSETS:	14-20
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jidiyd_1]
   UNSPLITVOC:	(Aljidiyd)
          POS:	DET+ADJ
          VOC:	Al+jidiyd
        GLOSS:	the+new/modern/recent/again/anew/brand new/junior/inexperienced

 INPUT STRING:	ييدأ
     IS_TRANS:	yyd>
        INDEX:	P2W4
      OFFSETS:	21-25
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(yyd>)
          POS:	TYPO
          VOC:	yyd>
        GLOSS:	nogloss

 INPUT STRING:	امتى
     IS_TRANS:	AmtY
        INDEX:	P2W5
      OFFSETS:	26-30
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imotaY_1]
   UNSPLITVOC:	(<imotaY)
          POS:	INTERROG_ADV
          VOC:	<imotaY
        GLOSS:	when

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W6
      OFFSETS:	30-31
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W7
      OFFSETS:	31-32
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفه
     IS_TRANS:	EArfh
        INDEX:	P3W2
      OFFSETS:	3-8
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	خليني
     IS_TRANS:	xlyny
        INDEX:	P3W3
      OFFSETS:	9-14
       TOKENS:	P3W3-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(xal~iyniy)
          POS:	CV+CVSUFF_SUBJ:2FS+CVSUFF_DO:1S
          VOC:	xal~+iy+niy
        GLOSS:	release/evacuate/allow/be released/be evacuated/be allowed+you+me

 INPUT STRING:	إشوف
     IS_TRANS:	<$wf
        INDEX:	P3W4
      OFFSETS:	15-19
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(Aa$uwf)
          POS:	IV1S+IV
          VOC:	Aa+$uwf
        GLOSS:	I+look

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P3W5
      OFFSETS:	20-23
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	النت
     IS_TRANS:	Alnt
        INDEX:	P3W6
      OFFSETS:	24-28
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
