 INPUT STRING:	موضوع
     IS_TRANS:	mwDwE
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwE)
          POS:	NOUN
          VOC:	mawDuwE
        GLOSS:	subject/theme/issue

 INPUT STRING:	المعونة
     IS_TRANS:	AlmEwnp
        INDEX:	P1W2
      OFFSETS:	6-13
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEuwnap_1]
   UNSPLITVOC:	(AlmaEuwnap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maEuwn+ap
        GLOSS:	the+aid/assistance/support+[fem.sg.]

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P1W3
      OFFSETS:	14-16
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P1W4
      OFFSETS:	17-19
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	جماعة
     IS_TRANS:	jmAEp
        INDEX:	P1W5
      OFFSETS:	20-25
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAEap_1]
   UNSPLITVOC:	(jamAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jamAE+ap
        GLOSS:	party/group/squad/groups/parties/squads/Gama'a/Jemaah+[fem.sg.]

 INPUT STRING:	مرتبط
     IS_TRANS:	mrtbT
        INDEX:	P1W6
      OFFSETS:	26-31
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[murotabiT_1]
   UNSPLITVOC:	(murotabiT)
          POS:	ADJ.VN
          VOC:	murotabiT
        GLOSS:	connected/linked

 INPUT STRING:	بمعاهدة
     IS_TRANS:	bmEAhdp
        INDEX:	P1W7
      OFFSETS:	32-39
       TOKENS:	P1W7-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEAhodap_1]
   UNSPLITVOC:	(bimuEAhodap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+muEAhod+ap
        GLOSS:	with/by+treaty/accord/pact+[fem.sg.]

 INPUT STRING:	كامب
     IS_TRANS:	kAmb
        INDEX:	P1W8
      OFFSETS:	40-44
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAmob_1]
   UNSPLITVOC:	(kAmob)
          POS:	NOUN_PROP
          VOC:	kAmob
        GLOSS:	Camp

 INPUT STRING:	زفت
