 INPUT STRING:	صبـــاحـكم
     IS_TRANS:	Sb___AH_km
        INDEX:	P1W1
      OFFSETS:	1-11
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SabAH_1]
   UNSPLITVOC:	(SabAHkum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	SabAH+kum
        GLOSS:	morning+your

 INPUT STRING:	مــصر
     IS_TRANS:	m__Sr
        INDEX:	P1W2
      OFFSETS:	12-17
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maSr_1]
   UNSPLITVOC:	(maSr)
          POS:	NOUN_PROP
          VOC:	maSr
        GLOSS:	Egypt

 INPUT STRING:	صباحكم
     IS_TRANS:	SbAHkm
        INDEX:	P2W1
      OFFSETS:	1-7
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SabAH_1]
   UNSPLITVOC:	(SabAHkum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	SabAH+kum
        GLOSS:	morning+your

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P2W2
      OFFSETS:	8-11
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	بقلم
     IS_TRANS:	bqlm
        INDEX:	P3W1
      OFFSETS:	1-5
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalam_1]
   UNSPLITVOC:	(biqalam)
          POS:	PREP+NOUN
          VOC:	bi+qalam
        GLOSS:	with/by+pencil/pen

 INPUT STRING:	نشوى
     IS_TRANS:	n$wY
        INDEX:	P3W2
      OFFSETS:	6-10
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[na$owaY_1]
   UNSPLITVOC:	(na$owaY)
          POS:	NOUN_PROP
          VOC:	na$owaY
        GLOSS:	Nashwa

 INPUT STRING:	الحوفى
     IS_TRANS:	AlHwfY
        INDEX:	P3W3
      OFFSETS:	11-17
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Huwfiy_1]
   UNSPLITVOC:	(AlHuwfiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+Huwfiy
        GLOSS:	the+Houfi

 INPUT STRING:	٢
     IS_TRANS:	&#x662;
        INDEX:	P3W4
      OFFSETS:	18-19
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(2)
          POS:	NOUN_NUM
          VOC:	2
        GLOSS:	2

 INPUT STRING:	/
     IS_TRANS:	/
        INDEX:	P3W5
      OFFSETS:	19-20
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(/)
          POS:	PUNC
          VOC:	/
        GLOSS:	/

 INPUT STRING:	٢
     IS_TRANS:	&#x662;
        INDEX:	P3W6
      OFFSETS:	21-22
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(2)
          POS:	NOUN_NUM
          VOC:	2
        GLOSS:	2

 INPUT STRING:	/
     IS_TRANS:	/
