 INPUT STRING:	قناة
     IS_TRANS:	qnAp
        INDEX:	P1W1
      OFFSETS:	1-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qanAap_1]
   UNSPLITVOC:	(qanAap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qanA+ap
        GLOSS:	channel+[fem.sg.]

 INPUT STRING:	العربية
     IS_TRANS:	AlErbyp
        INDEX:	P1W2
      OFFSETS:	6-13
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(AlEarabiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Earabiy~+ap
        GLOSS:	the+Arabic language+[fem.sg.]

 INPUT STRING:	أقصد
     IS_TRANS:	>qSd
        INDEX:	P1W3
      OFFSETS:	14-18
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaSad_1]
   UNSPLITVOC:	(AaqoSud)
          POS:	IV1S+IV
          VOC:	Aa+qoSud
        GLOSS:	I+intend/mean/pursue/be intended/be meant/be pursued

 INPUT STRING:	العبرية
     IS_TRANS:	AlEbryp
        INDEX:	P1W4
      OFFSETS:	19-26
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eiboriy~ap_1]
   UNSPLITVOC:	(AlEiboriy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Eiboriy~+ap
        GLOSS:	the+Jewish+[fem.sg.]

 INPUT STRING:	المفروض
     IS_TRANS:	AlmfrwD
        INDEX:	P1W5
      OFFSETS:	28-35
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maforuwD_1]
   UNSPLITVOC:	(AlmaforuwD)
          POS:	DET+ADJ
          VOC:	Al+maforuwD
        GLOSS:	the+imposed/prescribed

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P1W6
      OFFSETS:	36-40
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P1W7
      OFFSETS:	41-43
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	اسمها
     IS_TRANS:	AsmhA
        INDEX:	P1W8
      OFFSETS:	44-49
       TOKENS:	P1W8-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(AisomahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	Aisoma+hA
        GLOSS:	name+its/their/her

 INPUT STRING:	الحقيقي
     IS_TRANS:	AlHqyqy
        INDEX:	P1W9
      OFFSETS:	50-57
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haqiyqiy_1]
   UNSPLITVOC:	(AlHaqiyqiy)
          POS:	DET+ADJ
          VOC:	Al+Haqiyqiy
        GLOSS:	the+true

 INPUT STRING:	معروف
     IS_TRANS:	mErwf
        INDEX:	P1W10
      OFFSETS:	59-64
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoruwf_1]
   UNSPLITVOC:	(maEoruwf)
          POS:	ADJ
          VOC:	maEoruwf
        GLOSS:	known/well-known

 INPUT STRING:	توجهاتها
     IS_TRANS:	twjhAthA
        INDEX:	P1W11
      OFFSETS:	65-73
       TOKENS:	P1W12-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawaj~uh_1]
   UNSPLITVOC:	(tawaj~uhAthA)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_3FS
          VOC:	tawaj~uh+At+hA
        GLOSS:	direction+[fem.pl.]+her

 INPUT STRING:	وأجندتها
     IS_TRANS:	w>jndthA
        INDEX:	P1W12
      OFFSETS:	74-82
       TOKENS:	P1W14-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ajunda_1]
   UNSPLITVOC:	(w>ajundathA)
          POS:	CONJ+NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	w+>ajund+at+hA
        GLOSS:	and+program+[fem.sg.]+her

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P1W13
      OFFSETS:	82-83
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وطبعا
     IS_TRANS:	wTbEA
        INDEX:	P2W1
      OFFSETS:	1-6
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(wiTaboEAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wi+TaboE+AF
        GLOSS:	and+temperament/naturally/of course+[acc.indef.]

 INPUT STRING:	أضم
     IS_TRANS:	>Dm
        INDEX:	P2W2
      OFFSETS:	7-10
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Dam~_1]
   UNSPLITVOC:	(AaDum~)
          POS:	IV1S+IV
          VOC:	Aa+Dum~
        GLOSS:	I+add

 INPUT STRING:	صوتي
     IS_TRANS:	Swty
        INDEX:	P2W3
      OFFSETS:	11-15
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sawt_1]
   UNSPLITVOC:	(Suwtiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Suwt+iy
        GLOSS:	vote/votes+my

 INPUT STRING:	لصوتك
     IS_TRANS:	lSwtk
        INDEX:	P2W4
      OFFSETS:	16-21
       TOKENS:	P2W6-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sawt_1]
   UNSPLITVOC:	(liSuwtak)
          POS:	PREP+NOUN+POSS_PRON_2MS
          VOC:	li+Suwt+ak
        GLOSS:	for/to+voice/sound/voices/sounds+your

 INPUT STRING:	لتحذير
     IS_TRANS:	ltH*yr
        INDEX:	P2W5
      OFFSETS:	22-28
       TOKENS:	P2W9-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHo*iyr_1]
   UNSPLITVOC:	(litaHo*iyr)
          POS:	PREP+NOUN.VN
          VOC:	li+taHo*iyr
        GLOSS:	for/to+warning/caution

 INPUT STRING:	أخوانا
     IS_TRANS:	>xwAnA
        INDEX:	P2W6
      OFFSETS:	29-35
       TOKENS:	P2W11-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
