 INPUT STRING:	أرفع
     IS_TRANS:	>rfE
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rafaE_1]
   UNSPLITVOC:	(<irofaE)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	<irofaE+(null)
        GLOSS:	promote/raise+you

 INPUT STRING:	راسك
     IS_TRANS:	rAsk
        INDEX:	P1W2
      OFFSETS:	5-9
       TOKENS:	P1W2-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAs_1]
   UNSPLITVOC:	(rAsak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	rAs+ak
        GLOSS:	head+your

 INPUT STRING:	فوق
     IS_TRANS:	fwq
        INDEX:	P1W3
      OFFSETS:	10-13
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fuwoq_1]
   UNSPLITVOC:	(fuwoq)
          POS:	NOUN
          VOC:	fuwoq
        GLOSS:	above/over/top/upper part

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P1W4
      OFFSETS:	14-17
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]

 INPUT STRING:	مصري
     IS_TRANS:	mSry
        INDEX:	P1W5
      OFFSETS:	18-22
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriy)
          POS:	ADJ
          VOC:	maSoriy
        GLOSS:	egyptian

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P2W1
      OFFSETS:	0-2
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	اجد
     IS_TRANS:	Ajd
        INDEX:	P2W2
      OFFSETS:	3-6
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wajad_1]
   UNSPLITVOC:	(Aajod)
          POS:	IV1S+IV
          VOC:	Aa+jod
        GLOSS:	i+find

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W3
      OFFSETS:	7-9
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	العبارت
     IS_TRANS:	AlEbArt
        INDEX:	P2W4
      OFFSETS:	10-17
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EibArap_1]
   UNSPLITVOC:	(AlEibArAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+EibAr+At
        GLOSS:	the+expressions+[fem.pl.]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P2W5
      OFFSETS:	18-20
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what

 INPUT STRING:	اصف
     IS_TRANS:	ASf
        INDEX:	P2W6
      OFFSETS:	21-24
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waSaf_1]
   UNSPLITVOC:	(>aSif)
          POS:	IV1S+IV
          VOC:	>a+Sif
        GLOSS:	i+describe/ characterize

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P2W7
      OFFSETS:	25-27
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what

 INPUT STRING:	اشعر
     IS_TRANS:	A$Er
        INDEX:	P2W8
      OFFSETS:	28-32
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEar_1]
   UNSPLITVOC:	(Aa$oEur)
          POS:	IV1S+IV
          VOC:	Aa+$oEur
        GLOSS:	i+feel / be aware

 INPUT STRING:	به
     IS_TRANS:	bh
        INDEX:	P2W9
      OFFSETS:	33-35
       TOKENS:	P2W9-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(buh)
          POS:	PREP+PRON_3MS
          VOC:	bi+uh
        GLOSS:	with/by+it/him

 INPUT STRING:	كما
     IS_TRANS:	kmA
        INDEX:	P3W1
      OFFSETS:	0-3
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamA_1]
   UNSPLITVOC:	(kamA)
          POS:	CONJ
          VOC:	kamA
        GLOSS:	and/as/also

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P3W2
      OFFSETS:	4-6
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P3W3
      OFFSETS:	7-10
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	حلم
     IS_TRANS:	Hlm
        INDEX:	P3W4
      OFFSETS:	11-14
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilom_1]
   UNSPLITVOC:	(Hilom)
          POS:	NOUN
          VOC:	Hilom
        GLOSS:	dream/dreams

 INPUT STRING:	مبهر
     IS_TRANS:	mbhr
        INDEX:	P3W5
      OFFSETS:	15-19
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubohir_1]
   UNSPLITVOC:	(mubohir)
          POS:	ADJ
          VOC:	mubohir
        GLOSS:	impressive

 INPUT STRING:	رائع
     IS_TRANS:	rA}E
        INDEX:	P3W6
      OFFSETS:	20-24
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rA}iE_1]
   UNSPLITVOC:	(rA}iE)
          POS:	ADJ
          VOC:	rA}iE
        GLOSS:	splendid/marvelous/magnificent

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W7
      OFFSETS:	24-25
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W8
      OFFSETS:	25-26
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	حلم
     IS_TRANS:	Hlm
        INDEX:	P3W9
      OFFSETS:	26-29
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilom_1]
   UNSPLITVOC:	(Hilom)
          POS:	NOUN
          VOC:	Hilom
        GLOSS:	dream/dreams

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P3W10
      OFFSETS:	30-32
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	يصدق
     IS_TRANS:	ySdq
        INDEX:	P3W11
      OFFSETS:	33-37
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Sad~aq_1]
   UNSPLITVOC:	(yuSad~aq)
          POS:	IV3MS+IV
          VOC:	yu+Sad~aq
        GLOSS:	he/it+believe/give credence to/confirm/be believed

 INPUT STRING:	ثورة
     IS_TRANS:	vwrp
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(vawrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	vawr+ap
        GLOSS:	revolution/uprising+[fem.sg.]

 INPUT STRING:	مصرية
     IS_TRANS:	mSryp
        INDEX:	P4W2
      OFFSETS:	5-10
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	maSoriy~+ap
        GLOSS:	Egyptian+[fem.sg.]

 INPUT STRING:	خالصة
     IS_TRANS:	xAlSp
        INDEX:	P4W3
      OFFSETS:	11-16
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAloSap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	xAloS+ap
        GLOSS:	sincere+[fem.sg.]

 INPUT STRING:	سلمية
     IS_TRANS:	slmyp
        INDEX:	P4W4
      OFFSETS:	17-22
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[silomiy_1]
   UNSPLITVOC:	(silomiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	silomiy~+ap
        GLOSS:	peaceful/pacifist+[fem.sg.]

 INPUT STRING:	تسقط
     IS_TRANS:	tsqT
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saq~aT_1]
   UNSPLITVOC:	(tisaq~aT)
          POS:	IV3FS+IV
          VOC:	ti+saq~aT
        GLOSS:	it/they/she+fall/drop

 INPUT STRING:	اشرس
     IS_TRANS:	A$rs
        INDEX:	P5W2
      OFFSETS:	5-9
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>a$ras_1]
   UNSPLITVOC:	(>a$ras)
          POS:	ADJ_COMP
          VOC:	>a$ras
        GLOSS:	the fiercest

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P5W3
      OFFSETS:	10-11
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

