 INPUT STRING:	دا
     IS_TRANS:	dA
        INDEX:	P1W1
      OFFSETS:	0-2
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this/that

 INPUT STRING:	نائب
     IS_TRANS:	nA}b
        INDEX:	P1W2
      OFFSETS:	3-7
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nA}ib_1]
   UNSPLITVOC:	(nA}ib)
          POS:	NOUN
          VOC:	nA}ib
        GLOSS:	deputy/delegate/vice-

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P1W3
      OFFSETS:	8-10
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	محترم
     IS_TRANS:	mHtrm
        INDEX:	P1W4
      OFFSETS:	11-16
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHotaram_1]
   UNSPLITVOC:	(muHotaram)
          POS:	ADJ
          VOC:	muHotaram
        GLOSS:	esteemed/respected

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P1W5
      OFFSETS:	17-20
       TOKENS:	P1W5-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	متدين
     IS_TRANS:	mtdyn
        INDEX:	P1W6
      OFFSETS:	21-26
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutaday~in_1]
   UNSPLITVOC:	(mutaday~in)
          POS:	ADJ
          VOC:	mutaday~in
        GLOSS:	pious/religious

 INPUT STRING:	ومنافق
     IS_TRANS:	wmnAfq
        INDEX:	P1W7
      OFFSETS:	27-33
       TOKENS:	P1W8-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[minAfiq_1]
   UNSPLITVOC:	(wiminAfiq)
          POS:	CONJ+ADJ
          VOC:	wi+minAfiq
        GLOSS:	and+hypocrite

 INPUT STRING:	واللى
     IS_TRANS:	wAllY
        INDEX:	P1W8
      OFFSETS:	34-39
       TOKENS:	P1W10-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(wiAlliy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Alliy
        GLOSS:	and+which/who/whom

 INPUT STRING:	عايز
     IS_TRANS:	EAyz
        INDEX:	P1W9
      OFFSETS:	40-44
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyiz)
          POS:	ADJ.VN
          VOC:	EAyiz
        GLOSS:	desiring/wishing for

 INPUT STRING:	يبلغ
     IS_TRANS:	yblg
        INDEX:	P1W10
      OFFSETS:	45-49
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bal~ag_1]
   UNSPLITVOC:	(yibal~ig)
          POS:	IV3MS+IV
          VOC:	yi+bal~ig
        GLOSS:	he/it+report/inform/notify

 INPUT STRING:	عني
     IS_TRANS:	Eny
        INDEX:	P1W11
      OFFSETS:	50-53
       TOKENS:	P1W14-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean~iy)
          POS:	PREP+PRON_1S
          VOC:	Ean~+iy
        GLOSS:	(away) from, off, about, on, over+me

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P1W12
      OFFSETS:	54-58
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+remain

 INPUT STRING:	ليا
     IS_TRANS:	lyA
        INDEX:	P1W13
      OFFSETS:	59-62
       TOKENS:	P1W17-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liy_1]
   UNSPLITVOC:	(liyyA)
          POS:	PREP+PRON_1S
          VOC:	liy+yA
        GLOSS:	to/for+me

 INPUT STRING:	الشرف
     IS_TRANS:	Al$rf
        INDEX:	P1W14
      OFFSETS:	63-68
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$araf_1]
   UNSPLITVOC:	(Al$~araf)
          POS:	DET+NOUN
          VOC:	Al+$araf
        GLOSS:	the+honor

 INPUT STRING:	يتهم
     IS_TRANS:	ythm
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<it~aham_1]
   UNSPLITVOC:	(yit~ihim)
          POS:	IV3MS+IV
          VOC:	yi+t~ihim
        GLOSS:	he/it+accuse

 INPUT STRING:	المتظاهرين
     IS_TRANS:	AlmtZAhryn
        INDEX:	P2W2
      OFFSETS:	5-15
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mutaZAhir_1]
   UNSPLITVOC:	(AlmutaZAhiriyna)
          POS:	DET+ADJ+NSUFF_MASC_PL_ACC
          VOC:	Al+mutaZAhir+iyna
        GLOSS:	the+demonstrating+[masc.pl.acc.]

 INPUT STRING:	بالباطل
     IS_TRANS:	bAlbATl
        INDEX:	P2W3
      OFFSETS:	16-23
       TOKENS:	P2W3-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bATil_1]
   UNSPLITVOC:	(biAlbATil)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+bATil
        GLOSS:	with/by+the+falsehood

 INPUT STRING:	والزور
     IS_TRANS:	wAlzwr
        INDEX:	P2W4
      OFFSETS:	24-30
       TOKENS:	P2W5-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zuwr_1]
   UNSPLITVOC:	(wiAlzuwr)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+zuwr
        GLOSS:	and+the+inclination/falseness/perfidy

 INPUT STRING:	دون
     IS_TRANS:	dwn
        INDEX:	P2W5
      OFFSETS:	31-34
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(duwn)
          POS:	NOUN
          VOC:	duwn
        GLOSS:	without/beneath/underneath/inferior/poor

 INPUT STRING:	اييييييييييييي
     IS_TRANS:	Ayyyyyyyyyyyyy
        INDEX:	P2W6
      OFFSETS:	35-49
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ay_1]
   UNSPLITVOC:	(Ay)
          POS:	NOUN_QUANT
          VOC:	Ay
        GLOSS:	any

 INPUT STRING:	دليل
     IS_TRANS:	dlyl
        INDEX:	P2W7
      OFFSETS:	50-54
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daliyl_1]
   UNSPLITVOC:	(daliyl)
          POS:	NOUN
          VOC:	daliyl
        GLOSS:	evidence/proof

 INPUT STRING:	بالعماله
     IS_TRANS:	bAlEmAlh
        INDEX:	P2W8
      OFFSETS:	55-63
       TOKENS:	P2W10-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EimAlap_1]
   UNSPLITVOC:	(biAlEimAlap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+EimAl+ap
        GLOSS:	with/by+the+labor force+[fem.sg.]

 INPUT STRING:	واخذ
     IS_TRANS:	wAx*
        INDEX:	P2W9
      OFFSETS:	64-68
       TOKENS:	P2W12-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ax*_1]
   UNSPLITVOC:	(wiAx*)
          POS:	CONJ+NOUN
          VOC:	wi+Ax*
        GLOSS:	and+seizure/taking

 INPUT STRING:	الترامادول
