 INPUT STRING:	سؤال
     IS_TRANS:	s&Al
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(su&Al)
          POS:	NOUN
          VOC:	su&Al
        GLOSS:	question/inquiry/questions/inquiries

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P1W2
      OFFSETS:	5-7
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P1W3
      OFFSETS:	8-10
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	اخواتى
     IS_TRANS:	AxwAtY
        INDEX:	P1W4
      OFFSETS:	11-17
       TOKENS:	P1W4-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uxot_1]
   UNSPLITVOC:	(>axawAtiy)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_1S
          VOC:	>axaw+At+iy
        GLOSS:	sister/counterpart/sisters+[fem.pl.]+my

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P2W1
      OFFSETS:	0-2
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P2W2
      OFFSETS:	3-6
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	تنور
     IS_TRANS:	tnwr
        INDEX:	P2W3
      OFFSETS:	7-11
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naw~ar_1]
   UNSPLITVOC:	(tinaw~ar)
          POS:	IV3FS+IV
          VOC:	ti+naw~ar
        GLOSS:	it/they/she+shed light/enlighten

 INPUT STRING:	لمبة
     IS_TRANS:	lmbp
        INDEX:	P2W4
      OFFSETS:	12-16
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lamobap_1]
   UNSPLITVOC:	(lamobap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	lamob+ap
        GLOSS:	lamp+[fem.sg.]

 INPUT STRING:	البطارية
     IS_TRANS:	AlbTAryp
        INDEX:	P2W5
      OFFSETS:	17-25
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baT~Ariy~ap_1]
   UNSPLITVOC:	(AlbaT~Ariy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+baT~Ariy~+ap
        GLOSS:	the+battery+[fem.sg.]

 INPUT STRING:	واللمبة
     IS_TRANS:	wAllmbp
        INDEX:	P2W6
      OFFSETS:	26-33
       TOKENS:	P2W6-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lamobap_1]
   UNSPLITVOC:	(wiAllamobap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+lamob+ap
        GLOSS:	and+the+lamp+[fem.sg.]

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P2W7
      OFFSETS:	34-38
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	جنبها
     IS_TRANS:	jnbhA
        INDEX:	P2W8
      OFFSETS:	39-44
       TOKENS:	P2W9-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[janob_1]
   UNSPLITVOC:	(janobahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	janob+hA
        GLOSS:	next to/side/sides+its/their/her

