 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P1W1
      OFFSETS:	1-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	السلطة
     IS_TRANS:	AlslTp
        INDEX:	P1W2
      OFFSETS:	5-11
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suloTap_1]
   UNSPLITVOC:	(Als~uloTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+suloT+ap
        GLOSS:	the+power/authority/rule/authorities/powers/authorities/rules+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P1W3
      OFFSETS:	12-14
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	احشائى
     IS_TRANS:	AH$A}Y
        INDEX:	P1W4
      OFFSETS:	15-21
       TOKENS:	P1W4-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ha$AF_1]
   UNSPLITVOC:	(>aHo$A}iy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>aHo$A}+iy
        GLOSS:	intestines/bowels/interior+my

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P1W5
      OFFSETS:	22-27
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	كامن
     IS_TRANS:	kAmn
        INDEX:	P1W6
      OFFSETS:	28-32
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAmin_1]
   UNSPLITVOC:	(kAmin)
          POS:	ADJ
          VOC:	kAmin
        GLOSS:	hidden/secret/latent

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W1
      OFFSETS:	1-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
