 INPUT STRING:	منووسا
     IS_TRANS:	mnwwsA
        INDEX:	P1W1
      OFFSETS:	0-6
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[man~uwsA_1]
   UNSPLITVOC:	(man~uwsA)
          POS:	NOUN_PROP
          VOC:	man~uwsA
        GLOSS:	Manosa

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P1W2
      OFFSETS:	7-11
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	أول
     IS_TRANS:	>wl
        INDEX:	P1W3
      OFFSETS:	12-15
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaw~il_1]
   UNSPLITVOC:	(Aw~il)
          POS:	ADJ
          VOC:	Aw~il
        GLOSS:	first/explain/interpret/be explained/be interpreted/first-place/best/top

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P1W4
      OFFSETS:	16-18
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_8]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	تخلصوا
     IS_TRANS:	txlSwA
        INDEX:	P1W5
      OFFSETS:	19-25
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aS_1]
   UNSPLITVOC:	(tixal~aSuwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+xal~aS+uwA
        GLOSS:	you+purify/refine/clarify+[pl.]

 INPUT STRING:	اسم
     IS_TRANS:	Asm
        INDEX:	P1W6
      OFFSETS:	26-29
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Asm)
          POS:	FOREIGN
          VOC:	Asm
        GLOSS:	nogloss

 INPUT STRING:	كلموني
     IS_TRANS:	klmwny
        INDEX:	P1W7
      OFFSETS:	30-36
       TOKENS:	P1W7-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(kal~imuwniy)
          POS:	CV+CVSUFF_SUBJ:2P+CVSUFF_DO:1S
          VOC:	kal~im+uwA+niy
        GLOSS:	talk/speak/talk to+you+me

 INPUT STRING:	عايزة
     IS_TRANS:	EAyzp
        INDEX:	P1W8
      OFFSETS:	37-42
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	needing/liking/requiring/wanting/desiring+[fem.sg.]

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P1W9
      OFFSETS:	43-47
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	ضروري
     IS_TRANS:	Drwry
        INDEX:	P1W10
      OFFSETS:	48-53
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Daruwriy_1]
   UNSPLITVOC:	(Daruwriy)
          POS:	ADJ
          VOC:	Daruwriy
        GLOSS:	requisite/necessary

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W11
      OFFSETS:	54-56
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	فنون
     IS_TRANS:	fnwn
        INDEX:	P1W12
      OFFSETS:	57-61
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fan~_1]
   UNSPLITVOC:	(funuwn)
          POS:	NOUN
          VOC:	funuwn
        GLOSS:	arts/specialties/varieties

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	رسيتوا
     IS_TRANS:	rsytwA
        INDEX:	P2W2
      OFFSETS:	4-10
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[risiy_1]
   UNSPLITVOC:	(risiytuwA)
          POS:	PV+PVSUFF_SUBJ:2P
          VOC:	risiy+tuwA
        GLOSS:	be anchored/be moored/come out+you

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W3
      OFFSETS:	11-14
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P2W4
      OFFSETS:	15-18
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	مينو
     IS_TRANS:	mynw
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miynuw_1]
   UNSPLITVOC:	(miynuw)
          POS:	NOUN_PROP
          VOC:	miynuw
        GLOSS:	Mino

 INPUT STRING:	أيضا
     IS_TRANS:	>yDA
        INDEX:	P3W2
      OFFSETS:	5-9
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayD_1]
   UNSPLITVOC:	(>ayDAF)
          POS:	ADV+CASE_INDEF_ACC
          VOC:	>ayD+AF
        GLOSS:	metabolism/also+[acc.indef.]

 INPUT STRING:	طلب
     IS_TRANS:	Tlb
        INDEX:	P3W3
      OFFSETS:	10-13
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Talab_1]
   UNSPLITVOC:	(Talab)
          POS:	NOUN.VN
          VOC:	Talab
        GLOSS:	quest/search/request/demand/requests/demands

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	ميناس
     IS_TRANS:	mynAs
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miynAs_1]
   UNSPLITVOC:	(miynAs)
          POS:	NOUN_PROP
          VOC:	miynAs
        GLOSS:	Minas

 INPUT STRING:	عندك
     IS_TRANS:	Endk
        INDEX:	P5W2
      OFFSETS:	6-10
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	Eanod+ik
        GLOSS:	at/have/possession/with+your

 INPUT STRING:	فوتوشوب
     IS_TRANS:	fwtw$wb
        INDEX:	P5W3
      OFFSETS:	11-18
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fwtw$wb)
          POS:	FOREIGN
          VOC:	fwtw$wb
        GLOSS:	nogloss

 INPUT STRING:	بصي
     IS_TRANS:	bSy
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(buS~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	buS~+iy
        GLOSS:	look/glow/sparkle+you

 INPUT STRING:	شايفة
     IS_TRANS:	$Ayfp
        INDEX:	P6W2
      OFFSETS:	4-9
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$Ayif_1]
   UNSPLITVOC:	($Ayofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	$Ayof+ap
        GLOSS:	viewer/observer/onlooker/onloker+[fem.sg.]

 INPUT STRING:	الصورة
     IS_TRANS:	AlSwrp
        INDEX:	P6W3
      OFFSETS:	10-16
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(AlSuwrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Suwr+ap
        GLOSS:	the+picture/image/illustration/photo/pictures/photographs/illustrations/photos+[fem.sg.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P6W4
      OFFSETS:	17-19
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	عايزاها
     IS_TRANS:	EAyzAhA
        INDEX:	P7W1
      OFFSETS:	0-7
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozAhA)
          POS:	ADJ+NSUFF_FEM_SG+PRON_3FS
          VOC:	EAyoz+ap+hA
        GLOSS:	needing/liking/requiring/wanting/desiring+[fem.sg.]+it/them/her

 INPUT STRING:	جست
     IS_TRANS:	jst
        INDEX:	P7W2
      OFFSETS:	8-11
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(jst)
          POS:	FOREIGN
          VOC:	jst
        GLOSS:	nogloss

 INPUT STRING:	رسمة
     IS_TRANS:	rsmp
        INDEX:	P7W3
      OFFSETS:	12-16
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rasomap_1]
   UNSPLITVOC:	(rasomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	rasom+ap
        GLOSS:	painting+[fem.sg.]

 INPUT STRING:	بالأبيض
     IS_TRANS:	bAl>byD
        INDEX:	P7W4
      OFFSETS:	17-24
       TOKENS:	P7W5-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aboyaD_1]
   UNSPLITVOC:	(biAl>aboyaD)
          POS:	PREP+DET+ADJ
          VOC:	bi+Al+>aboyaD
        GLOSS:	with/by+the+white

 INPUT STRING:	وإسود
     IS_TRANS:	w<swd
        INDEX:	P7W5
      OFFSETS:	25-30
       TOKENS:	P7W7-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisowid_1]
   UNSPLITVOC:	(wiAisowid)
          POS:	CONJ+ADJ
          VOC:	wi+Aisowid
        GLOSS:	and+black/dark

 INPUT STRING:	وتلين
     IS_TRANS:	wtlyn
        INDEX:	P7W6
      OFFSETS:	31-36
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wtlyn)
          POS:	FOREIGN
          VOC:	wtlyn
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P7W7
      OFFSETS:	37-39
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P7W8
      OFFSETS:	40-43
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	not/other

 INPUT STRING:	الجري
     IS_TRANS:	Aljry
        INDEX:	P7W9
      OFFSETS:	44-49
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Aljry)
          POS:	FOREIGN
          VOC:	Aljry
        GLOSS:	nogloss

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P7W10
      OFFSETS:	50-52
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	ذمة
     IS_TRANS:	*mp
        INDEX:	P7W11
      OFFSETS:	53-56
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(*mp)
          POS:	TYPO
          VOC:	*mp
        GLOSS:	nogloss

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P7W12
      OFFSETS:	57-61
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	حدديها
     IS_TRANS:	HddyhA
        INDEX:	P7W13
      OFFSETS:	62-68
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(HddyhA)
          POS:	NO_FUNC
          VOC:	HddyhA
        GLOSS:	nogloss

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P8W1
      OFFSETS:	0-2
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	بالأبيض
     IS_TRANS:	bAl>byD
        INDEX:	P9W1
      OFFSETS:	0-7
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aboyaD_1]
   UNSPLITVOC:	(biAl>aboyaD)
          POS:	PREP+DET+ADJ
          VOC:	bi+Al+>aboyaD
        GLOSS:	with/by+the+white

 INPUT STRING:	واسود
     IS_TRANS:	wAswd
        INDEX:	P9W2
      OFFSETS:	8-13
       TOKENS:	P9W3-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisowid_1]
   UNSPLITVOC:	(wiAisowid)
          POS:	CONJ+ADJ
          VOC:	wi+Aisowid
        GLOSS:	and+black/dark

 INPUT STRING:	ومن
     IS_TRANS:	wmn
        INDEX:	P9W3
      OFFSETS:	14-17
       TOKENS:	P9W5-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(wimin)
          POS:	CONJ+PREP
          VOC:	wi+min
        GLOSS:	and+from

 INPUT STRING:	جوه
     IS_TRANS:	jwh
        INDEX:	P9W4
      OFFSETS:	18-21
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juw~ah_1]
   UNSPLITVOC:	(juw~ah)
          POS:	NOUN
          VOC:	juw~ah
        GLOSS:	in/at/over/about/by/ratio/within

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P9W5
      OFFSETS:	22-26
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	too/also/else

 INPUT STRING:	جست
     IS_TRANS:	jst
        INDEX:	P9W6
      OFFSETS:	27-30
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(jst)
          POS:	FOREIGN
          VOC:	jst
        GLOSS:	nogloss

 INPUT STRING:	عريسى
     IS_TRANS:	ErysY
        INDEX:	P9W7
      OFFSETS:	31-36
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(ErysY)
          POS:	FOREIGN
          VOC:	ErysY
        GLOSS:	nogloss

 INPUT STRING:	عك
     IS_TRANS:	Ek
        INDEX:	P10W1
      OFFSETS:	0-2
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Ek)
          POS:	FOREIGN
          VOC:	Ek
        GLOSS:	nogloss

 INPUT STRING:	حأشوف
     IS_TRANS:	H>$wf
        INDEX:	P10W2
      OFFSETS:	3-8
       TOKENS:	P10W2-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(HaAa$uwf)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+$uwf
        GLOSS:	will+I+look

 INPUT STRING:	نو
     IS_TRANS:	nw
        INDEX:	P10W3
      OFFSETS:	9-11
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(nw)
          POS:	FOREIGN
          VOC:	nw
        GLOSS:	nogloss

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P11W1
      OFFSETS:	0-3
