 INPUT STRING:	أكد
     IS_TRANS:	>kd
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ak~id_1]
   UNSPLITVOC:	(>ak~id)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>ak~id+(null)
        GLOSS:	ensure+he/it

 INPUT STRING:	نواب
     IS_TRANS:	nwAb
        INDEX:	P1W2
      OFFSETS:	4-8
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nA}ib_1]
   UNSPLITVOC:	(nuw~Ab)
          POS:	NOUN
          VOC:	nuw~Ab
        GLOSS:	deputies/delegates

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W3
      OFFSETS:	9-11
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الكونجرس
     IS_TRANS:	Alkwnjrs
        INDEX:	P1W4
      OFFSETS:	12-20
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kuwnojris_1]
   UNSPLITVOC:	(Alkuwnojris)
          POS:	DET+NOUN_PROP
          VOC:	Al+kuwnojris
        GLOSS:	the+Congress

 INPUT STRING:	الأمريكى
     IS_TRANS:	Al>mrykY
        INDEX:	P1W5
      OFFSETS:	21-29
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amoriykiy~_1]
   UNSPLITVOC:	(Al>amoriykiy~)
          POS:	DET+ADJ
          VOC:	Al+>amoriykiy~
        GLOSS:	the+American

 INPUT STRING:	لمجلة
     IS_TRANS:	lmjlp
        INDEX:	P1W6
      OFFSETS:	30-35
       TOKENS:	P1W6-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majal~ap_1]
   UNSPLITVOC:	(limajal~ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+majal~+ap
        GLOSS:	for/to+magazine/journal+[fem.sg.]

 INPUT STRING:	فورين
     IS_TRANS:	fwryn
        INDEX:	P1W7
      OFFSETS:	36-41
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fwryn_1]
   UNSPLITVOC:	(fwryn)
          POS:	FOREIGN
          VOC:	fwryn
        GLOSS:	foreign

 INPUT STRING:	بوليسي
     IS_TRANS:	bwlysy
        INDEX:	P1W8
      OFFSETS:	42-48
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bwlysy_1]
   UNSPLITVOC:	(bwlysy)
          POS:	FOREIGN
          VOC:	bwlysy
        GLOSS:	policy

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P1W9
      OFFSETS:	49-51
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	الكونجرس
     IS_TRANS:	Alkwnjrs
        INDEX:	P1W10
      OFFSETS:	52-60
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kuwnojris_1]
   UNSPLITVOC:	(Alkuwnojris)
          POS:	DET+NOUN_PROP
          VOC:	Al+kuwnojris
        GLOSS:	the+Congress

 INPUT STRING:	الأمريكى
     IS_TRANS:	Al>mrykY
        INDEX:	P1W11
      OFFSETS:	61-69
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amoriykiy~_1]
   UNSPLITVOC:	(Al>amoriykiy~)
          POS:	DET+ADJ
          VOC:	Al+>amoriykiy~
        GLOSS:	the+American

 INPUT STRING:	لن
     IS_TRANS:	ln
        INDEX:	P1W12
      OFFSETS:	70-72
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lano_1]
   UNSPLITVOC:	(lano)
          POS:	NEG_PART
          VOC:	lano
        GLOSS:	not, never, nevermore

 INPUT STRING:	يوافق
     IS_TRANS:	ywAfq
        INDEX:	P1W13
      OFFSETS:	73-78
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAfiq_1]
   UNSPLITVOC:	(yiwAfiq)
          POS:	IV3MS+IV
          VOC:	yi+wAfiq
        GLOSS:	he/it+agree

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P1W14
      OFFSETS:	79-82
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	منح
     IS_TRANS:	mnH
        INDEX:	P1W15
      OFFSETS:	83-86
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoH_1]
   UNSPLITVOC:	(manoH)
          POS:	NOUN.VN
          VOC:	manoH
        GLOSS:	granting/bestowal/awarding

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P1W16
      OFFSETS:	87-90
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	المليار
     IS_TRANS:	AlmlyAr
        INDEX:	P1W17
      OFFSETS:	91-98
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miloyAr_1]
   UNSPLITVOC:	(AlmiloyAr)
          POS:	DET+NOUN_NUM
          VOC:	Al+miloyAr
        GLOSS:	the+billion

 INPUT STRING:	دولار
     IS_TRANS:	dwlAr
        INDEX:	P1W18
      OFFSETS:	99-104
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwlAr_1]
   UNSPLITVOC:	(duwlAr)
          POS:	NOUN
          VOC:	duwlAr
        GLOSS:	dollar/dollars

 INPUT STRING:	الذى
     IS_TRANS:	Al*Y
        INDEX:	P1W19
      OFFSETS:	105-109
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which

 INPUT STRING:	أعلن
     IS_TRANS:	>Eln
        INDEX:	P1W20
      OFFSETS:	110-114
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEolan_1]
   UNSPLITVOC:	(>aEolan)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>aEolan+(null)
        GLOSS:	announce/declare/be announced/be declared+he/it

 INPUT STRING:	عنه
     IS_TRANS:	Enh
        INDEX:	P1W21
      OFFSETS:	115-118
       TOKENS:	P1W22-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean~uh)
          POS:	PREP+PRON_3MS
          VOC:	Ean~+uh
        GLOSS:	(away) from, off, about, on, over+gloss

 INPUT STRING:	أوباما
     IS_TRANS:	>wbAmA
        INDEX:	P1W22
      OFFSETS:	119-125
       TOKENS:	P1W24-P1W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uwbAmA_1]
   UNSPLITVOC:	(>uwbAmA)
          POS:	NOUN_PROP
          VOC:	>uwbAmA
        GLOSS:	Obama

 INPUT STRING:	وكذلك
     IS_TRANS:	wk*lk
        INDEX:	P1W23
      OFFSETS:	126-131
       TOKENS:	P1W25-P1W27
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*`lika_1]
   UNSPLITVOC:	(waka*`lika)
          POS:	CONJ+PREP+DEM_PRON_MS
          VOC:	wa+ka+*`lika
        GLOSS:	and+like/such as+that

 INPUT STRING:	خصم
     IS_TRANS:	xSm
        INDEX:	P1W24
      OFFSETS:	132-135
       TOKENS:	P1W28-P1W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaSom_1]
   UNSPLITVOC:	(xaSom)
          POS:	NOUN
          VOC:	xaSom
        GLOSS:	deduction/subtraction

 INPUT STRING:	المليار
     IS_TRANS:	AlmlyAr
        INDEX:	P1W25
      OFFSETS:	136-143
       TOKENS:	P1W29-P1W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miloyAr_1]
   UNSPLITVOC:	(AlmiloyAr)
          POS:	DET+NOUN_NUM
          VOC:	Al+miloyAr
        GLOSS:	the+billion

 INPUT STRING:	الآخر
     IS_TRANS:	Al|xr
        INDEX:	P1W26
      OFFSETS:	144-149
       TOKENS:	P1W30-P1W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|axar_1]
   UNSPLITVOC:	(Al|axar)
          POS:	DET+ADJ
          VOC:	Al+|axar
        GLOSS:	the+other/another

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W27
      OFFSETS:	150-152
       TOKENS:	P1W31-P1W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الديون
     IS_TRANS:	Aldywn
        INDEX:	P1W28
      OFFSETS:	153-159
