 INPUT STRING:	ازيك
     IS_TRANS:	Azyk
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Aiz~ay_1]
   UNSPLITVOC:	(Aiz~ay~ik)
          POS:	INTERROG_ADV+PRON_2FS
          VOC:	Aiz~ay~+ik
        GLOSS:	how are+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P1W2
      OFFSETS:	5-7
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	ماني
     IS_TRANS:	mAny
        INDEX:	P1W3
      OFFSETS:	8-12
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mAny_1]
   UNSPLITVOC:	(mAny)
          POS:	NOUN_PROP
          VOC:	mAny
        GLOSS:	Many "nick name of Amany"

 INPUT STRING:	ورغودة
     IS_TRANS:	wrgwdp
        INDEX:	P2W1
      OFFSETS:	0-6
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[raguwdap_1]
   UNSPLITVOC:	(wiraguwdap)
          POS:	CONJ+NOUN_PROP+NSUFF_FEM_SG
          VOC:	wi+raguwd+ap
        GLOSS:	and+Raghodap "nick name of Raghda"+[fem.sg.]

 INPUT STRING:	وعمورة
     IS_TRANS:	wEmwrp
        INDEX:	P2W2
      OFFSETS:	7-13
       TOKENS:	P2W3-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eamuwrap_1]
   UNSPLITVOC:	(wiEamuwrap)
          POS:	CONJ+NOUN_PROP+NSUFF_FEM_SG
          VOC:	wi+Eamuwr+ap
        GLOSS:	and+Amour "nick name of Amr"+[fem.sg.]

 INPUT STRING:	عاملين
